id,sale_warn,sale_warn_msg,use_parent_address,street,supplier,city,user_id,zip,title,function,country_id/id,company_id,parent_id/id,type,email,is_company,website,lang,fax,street2,phone,ref,active,tz,customer,credit_limit,mobile,opt_out,notify_email,property_payment_term_id/id,property_supplier_payment_term_id/id,property_product_pricelist/id,property_account_receivable_id,property_account_payable_id,property_account_position_id,property_delivery_carrier_id/id,property_stock_supplier/id,category_id/id,name2,eev_member,eev_number,eev_alarm,region_id/id,pobox_nr,pobox_zip,pobox_city,companytype,headquarter_id/id,mailing_email,mailing,department,lastname,firstname,partner_invoicing_id/id,influence,partner_state,property_purchase_currency_id,comment
partner_23864,no-message,,FALSE,"Schwellestrasse 5",false,"Kilchberg ZH",dla,"8802",,,base.ch,Swisslux AG,,contact,"combau@swissonline.ch",TRUE,"",de_DE,"+41 44 7156090","","+41 44 7156060",23864,true,"Europe/Zurich",true,3000.0000,"",false,always,scenario.accountpaymentterm_30dn,,,1100,2000,,"scenario.carrier_post_pri",stock.stock_location_suppliers,"scenario.partner_category_2","",FALSE,,FALSE,scenario.region_-2144060016,"","","",,,,0,,"ComBau","",,,,,
partner_23865,no-message,,FALSE,"Märzenbühlstrasse 15b",false,"Oberengstringen",ddj,"8102",,,base.ch,Swisslux AG,,contact,"",TRUE,"",de_DE,"","","+41 44 7506155",23865,true,"Europe/Zurich",true,3000.0000,"",false,always,scenario.accountpaymentterm_30dn,,,1100,2000,,"scenario.carrier_post_pri",stock.stock_location_suppliers,"scenario.partner_category_2","",FALSE,,FALSE,scenario.region_-2144059992,"","","",,,,0,,"Projekt55 Baumanagement GmbH","",,,,,
partner_23866,no-message,,FALSE,"Obfelderstrasse 41b",false,"Affoltern am Albis",dla,"8910",,,base.ch,Swisslux AG,,contact,"",TRUE,"",de_DE,"+41 44 7631314","","+41 44 7631313",23866,true,"Europe/Zurich",true,3000.0000,"",false,always,scenario.accountpaymentterm_30dn,,,1100,2000,,"scenario.carrier_post_pri",stock.stock_location_suppliers,"scenario.partner_category_2","",FALSE,,FALSE,scenario.region_-2144060021,"","","",,,,0,,"BFK Baumanagement","",,,,,
partner_23867,no-message,,FALSE,"Griesweg 13",false,"Niederhasli",ddj,"8155",,,base.ch,Swisslux AG,,contact,"",TRUE,"",de_DE,"+41 44 8511616","","+41 44 8511616",23867,true,"Europe/Zurich",true,3000.0000,"",false,always,scenario.accountpaymentterm_30dn,,,1100,2000,,"scenario.carrier_post_pri",stock.stock_location_suppliers,"scenario.partner_category_2","",FALSE,,FALSE,scenario.region_-2144059992,"","","",,,,0,,"Büchler Baumanagement GmbH","",,,,,
partner_23868,no-message,,FALSE,"Gajebärg 2",false,"Rafz",ddj,"8197",,,base.ch,Swisslux AG,,contact,"",TRUE,"",de_DE,"+41 44 8693374","","+41 44 8693373",23868,true,"Europe/Zurich",true,3000.0000,"",false,always,scenario.accountpaymentterm_30dn,,,1100,2000,,"scenario.carrier_post_pri",stock.stock_location_suppliers,"scenario.partner_category_2","",FALSE,,FALSE,scenario.region_-2144059992,"","","",,,,0,,"Gisler Baumanagement GmbH","",,,,,
partner_23869,no-message,,FALSE,"Via Scer",false,"Rancate",sgi,"6862",,,base.ch,Swisslux AG,,contact,"ginfra@bluewin.ch",TRUE,"",it_IT,"","","",23869,true,"Europe/Zurich",true,3000.0000,"",false,always,scenario.accountpaymentterm_30dn,,,1100,2000,,"scenario.carrier_post_pri",stock.stock_location_suppliers,"scenario.partner_category_2","",FALSE,,FALSE,scenario.region_-2144060018,"","","",,,,0,,"Studio Tecnico Croci Gianfranco","",,,,,
partner_23870,no-message,,FALSE,"Oberdorfstrasse 27",false,"Weiach",ddj,"8187",,,base.ch,Swisslux AG,,contact,"",TRUE,"",de_DE,"+41 44 8858667","","+41 44 8858666",23870,true,"Europe/Zurich",true,3000.0000,"",false,always,scenario.accountpaymentterm_30dn,,,1100,2000,,"scenario.carrier_post_pri",stock.stock_location_suppliers,"scenario.partner_category_2","",FALSE,,FALSE,scenario.region_-2144059992,"","","",,,,0,,"Haegi Baumanagement und Immobilien","",,,,,
partner_23871,no-message,,FALSE,"Usterstrasse 4",false,"Volketswil",ddj,"8604",,,base.ch,Swisslux AG,,contact,"",TRUE,"",de_DE,"+41 44 9472808","","+41 44 9472800",23871,true,"Europe/Zurich",true,3000.0000,"",false,always,scenario.accountpaymentterm_30dn,,,1100,2000,,"scenario.carrier_post_pri",stock.stock_location_suppliers,"scenario.partner_category_2","",FALSE,,FALSE,scenario.region_-2144060038,"","","",,,,0,,"Wieland + Partner GmbH","",,,,,
partner_23872,no-message,,FALSE,"Allmendstrasse 19",false,"Fehraltorf",ddj,"8320",,,base.ch,Swisslux AG,,contact,"",TRUE,"",de_DE,"+41 44 9542608","","+41 44 9543252",23872,true,"Europe/Zurich",true,3000.0000,"",false,always,scenario.accountpaymentterm_30dn,,,1100,2000,,"scenario.carrier_post_pri",stock.stock_location_suppliers,"scenario.partner_category_2","",FALSE,,FALSE,scenario.region_-2144060038,"","","",,,,0,,"WSF-Baumanagement","",,,,,
partner_23873,no-message,,FALSE,"Aathalstrasse 38a",false,"Uster",ddj,"8610",,,base.ch,Swisslux AG,,contact,"info@venzin-fuchs.ch",TRUE,"",de_DE,"+41 44 9942369","","+41 44 9942367",23873,true,"Europe/Zurich",true,3000.0000,"",false,always,scenario.accountpaymentterm_30dn,,,1100,2000,,"scenario.carrier_post_pri",stock.stock_location_suppliers,"scenario.partner_category_2","",FALSE,,FALSE,scenario.region_-2144060038,"","","",,,,0,,"Venzin + Fuchs Baumanagement AG","",,,,,
